,name,latitude,longitude
0,100 AM,1.27458821795426,103.84347073661
1,600 @ Toa Payoh,1.33403623894465,103.850977706475
2,Anchorpoint,1.28861469030586,103.805009964592
3,Beauty World Centre,1.34241264188642,103.776539385406
4,Beauty World Plaza,1.34180018619223,103.776259359854
5,Causeway Point,1.43590007901468,103.785795816344
6,Century Square,1.35236829566862,103.943812302253
7,Change Alley,1.2846330228498892,103.85173636919015
8,City Square Mall,1.31142103107683,103.856624019991
9,City Vibe,1.3145746182115783,103.76506910563229
10,CityLink Mall,1.2927777312893,103.854173501417
11,Eastpoint Mall,1.34270592355576,103.953024618234
12,ERA APAC Centre,1.33167653374942,103.849383945185
13,FairPrice Hub,1.32561767765205,103.678409741897
14,Forum The Shopping Mall,1.30655430501572,103.828652459744
15,Fu Lu Shou Complex,1.30151258571919,103.854497235401
16,Holland Road Shopping Centre,1.31027747574118,103.795371163103
17,Holland Piazza,1.31067976097165,103.795260908624
18,Hougang 1,1.35664284566921,103.889828868222
19,Hougang Mall,1.37248308734511,103.893788141349
20,IMM,1.33487526118006,103.746894773008
21,Jem,1.33305999269581,103.743503708169
22,KINEX,1.31461849889242,103.894738004768
23,Leisure Park Kallang,1.30192883841134,103.876208170362
24,Lot One,1.38506992325619,103.745238868238
25,Marina Bay Link Mall,1.28003113385646,103.854284863268
26,Mustafa Centre,1.31011213190394,103.855290873926
27,myVillage @ Serangoon,1.36511490572797,103.865159501442
28,Nex,1.35076935257845,103.872296143862
29,Orchard Central,1.30083890839245,103.839434733899
30,Plaza Singapura,1.30083497231103,103.845072925117
31,Queensway Shopping Centre,1.28759518939869,103.803397287789
32,The Rail Mall,1.35773050150178,103.768137724847
33,Rivervale Mall,1.39221732695142,103.904473070943
34,Rochester Mall,1.30540765569962,103.788446680148
35,Seletar Mall,1.39150192642807,103.87617162828
36,Sembawang Shopping Centre,1.44185307934021,103.824970378482
37,Sim Lim Square,1.30302298414827,103.853038663425
38,Sim Lim Tower,1.30377222122298,103.85466144692
39,The Centrepoint,1.30197836876806,103.839759023144
40,The Majestic,1.28471077015851,103.843197416212
41,The Star Vista,1.30681500712523,103.788462732266
42,Tampines 1,1.37169334607241,103.932924563561
43,Tampines Mall,1.35252737278519,103.944698751072
44,Tekka Centre,1.30671098278725,103.85013440636
45,Thomson Plaza,1.35436282723449,103.83030941613
46,Upper Serangoon Shopping Centre,1.35348082277147,103.878828134896
47,VivoCity,1.26429316783973,103.82230469365
48,West Mall,1.35037541626109,103.74912389291
49,White Sands,1.37228761596577,103.949733905672
50,Wisma Geylang Serai,1.31649415743907,103.896788418353
51,Yew Tee Point,1.39708432396576,103.746598000147
52,313@Somerset,1.30100656917241,103.838246592796
53,AMK Hub,1.36922522142582,103.848493192474
54,Alexandra Retail Centre,1.27384263888449,103.801375038176
55,Bedok Mall,1.32475054237912,103.92918919889
56,Bugis Junction,1.29911287475873,103.855411173758
57,Bugis+,1.30095171530648,103.855172625542
58,Bukit Panjang Plaza,1.38052239451717,103.764051414862
59,Capitol Singapore,1.2935414355709,103.851569286784
60,Changi City Point,1.33408363820793,103.962946043413
61,Chinatown Point,1.28299209695303,103.843245630659
62,Clarke Quay Central,1.2891125956942884,103.84661594206676
63,Claymore Connect,1.30766860940267,103.828164396352
64,Clementi Mall,1.31489619639366,103.764423054189
65,Compass One,1.39205314156706,103.89507054384
66,Cosford Container Park,1.3655209410140212,103.98126787640287
67,Djitsun Mall Bedok,1.32611970329469,103.929554495615
68,Djitsun Mall,1.32611970329469,103.929554495615
69,Esplanade Mall,1.29036586550079,103.8547977273
70,Far East Plaza,1.30730468891062,103.833818438639
71,Funan,1.29134759697794,103.849989790085
72,Golden Mile Complex,1.3027712050447,103.865172134495
73,Great World,1.2934759620704,103.831975865363
74,HarbourFront Centre,1.26393160324447,103.820112171695
75,Hillion Mall,1.37843100827586,103.762842789877
76,i12 Katong,1.30522306203042,103.905043928938
77,ION Orchard,1.30419142102398,103.831510144742
78,International Plaza,1.27581120588262,103.845955084997
79,Jewel Changi Airport,1.36023106736765,103.989457201894
80,Junction 8,1.35031600039774,103.848496645294
81,Junction 10,1.38018163022688,103.76041930548
82,Junction Nine,1.43306021695327,103.841649364872
83,Jurong Point,1.33945200436319,103.706685012654
84,Kallang Wave Mall,1.30307515150401,103.873149707591
85,Katong Shopping Centre,1.3040973115095,103.901515916971
86,Lucky Plaza,1.3044637897474,103.834005158524
87,Mandarin Gallery,1.3026026300586504,103.83655480828222
88,The Shoppes at Marina Bay Sands,1.28423496027027,103.85898228297
89,Marina Square,1.29159480494333,103.857048715656
90,Millenia Walk,1.29267926922552,103.860302888543
91,Ngee Ann City,1.3022727300848,103.834899517575
92,Northpoint City,1.42822560922688,103.836419992398
93,Novena Square,1.32057156550961,103.843219261065
94,One Raffles Place,1.28434954622306,103.851072545834
95,Orchard Gateway,1.30160116957544,103.838868886519
96,Orchard Towers,1.30758079522771,103.829476735628
97,PLQ Mall,1.31756115921,103.892836694432
98,Palais Renaissance,1.30665484543191,103.829588045188
99,Parkway Parade,1.30091736056425,103.90533928065
100,Paya Lebar Square,1.31881486980278,103.892580778242
101,Peninsula Plaza,1.29231742228801,103.850803179769
102,People's Park Centre,1.28577009981805,103.843980122838
103,People's Park Complex,1.28404487854559,103.842590753293
104,Raffles City,1.29408304748297,103.853339531257
105,Sengkang Grand Mall,1.38318916340582,103.892377573338
106,Shaw House and Centre,1.3059836705148071,103.83124442416968
107,SingPost Centre,1.31899666903663,103.894894915962
108,South Beach,1.29438518375248,103.8560297971
109,Square 2,1.27822949964567,103.850812513482
110,Sun Plaza,1.44819535371132,103.819502127155
111,Suntec City Mall,1.29350132535558,103.857307495824
112,Tang Plaza,1.30505783063001,103.83306065595
113,Tekka Place,1.30462871949255,103.852226984633
114,The Paragon,1.30375855987932,103.835240308481
115,The Woodleigh Mall,1.33873066388191,103.871670008192
116,Tiong Bahru Plaza,1.28644021678218,103.827450721571
117,United Square,1.31724362960663,103.844003130499
118,Valley Point,1.29303600932874,103.827069067058
119,Waterway Point,1.4064128346795,103.902188891645
120,West Coast Plaza,1.30358622534992,103.76610375397
121,Westgate,1.33415767556867,103.742766484424
122,Wheelock Place,1.30467628730252,103.830642027577
123,Wisma Atria,1.30368769989282,103.833203583562
124,Wisteria Mall,1.41798969122298,103.841317292608
125,888 Plaza,1.43711856085535,103.795316064775
126,Admiralty Place,1.44042008562425,103.801541769047
127,Buangkok Square,1.38433426615655,103.881623070164
128,Canberra Plaza,1.44349544527985,103.830345369213
129,Dawson Place,1.29270252655148,103.810971835645
130,Depot Heights Shopping Centre,1.28084469467756,103.810292618353
131,Elias Mall,1.37782876616465,103.942364336974
132,Fajar Shopping Centre,1.38357469942896,103.770868459633
133,Gek Poh Shopping Centre,1.34874357136408,103.697732091001
134,Greenridge Shopping Centre,1.38540569283271,103.766228468185
135,Heartland Mall,1.35954450890401,103.885169070198
136,HDB Hub,1.33201387005935,103.84984949662
137,Hougang Rivercourt,1.36274851459883,103.894906998774
138,Limbang Shopping Centre,1.3920738867617,103.743099573442
139,Loyang Point,1.36706634197242,103.964635610477
140,Northshore Plaza,1.41676127156324,103.902074379502
141,Oasis Terraces,1.40278015725693,103.913215101343
142,Our Tampines Hub,1.35218046898785,103.940598001519
143,Pasir Ris West Plaza,1.37976754317116,103.936207567321
144,Pioneer Mall,1.34169239214292,103.697174842118
145,Punggol Plaza,1.39417447299355,103.913120037036
146,Rivervale Plaza,1.38544833801428,103.901925969477
147,Sunshine Place,1.37789727709418,103.739015486021
148,Taman Jurong Shopping Centre,1.33484487471259,103.720462024278
149,Tampines Mart,1.35430033554002,103.959985126114
150,Vista Point,1.4308011390122,103.794104795966
151,Woodlands Mart,1.44564787003157,103.798162285805
152,Woodlands North Plaza,1.44275334327795,103.790548015512
153,Yew Tee Square,1.39836942665376,103.747188486453
154,321 Clementi,1.31200212030821,103.764986676365
155,Cathay Cineleisure Orchard,1.30149264852924,103.836406753067
156,GV Yishun,1.42991554202388,103.836473396124
157,The Cathay,1.29918373808483,103.847789785765
158,Amber Mansions,NA,NA
159,Bedok Point,1.33054849915481,103.947778439395
160,Capitol Centre,1.293317418841694,103.85144554293929
161,Ellenborough Market,NA,NA
162,Fernvale Point,1.39631551842338,103.881167324822
163,Fitzpatrick's,NA,NA
164,Funan DigitaLife Mall,1.2915221058022548,103.85019313156835
165,JCube,1.3340508558103998,103.74009893562348
166,Jurong Entertainment Centre,NA,NA
167,Liang Court,1.29065860407434,103.844547179775
168,Park Mall,1.29966016502847,103.853518084567
169,Scotts Shopping Centre,NA,NA
170,Serangoon Plaza,NA,NA
171,Shaw Tower,1.29664455421758,103.856855656294
172,Specialists' Shopping Centre,NA,NA
173,The Verge,1.3051300873424083,103.85126518554056
